Text,Cluster,Total
paper presents implementation body exergame exercise water air fire earthor team students scope course module design decisions longtime gamification exercise interaction technologies people health people play body reality headset controllers trackers gameplay exercises machine approach experience players ownerauthor,1,32
todays world lot navigation apps people users location structure navigation task public structures malls airports museums factories etc solutions technologies model reality anchors structure person location help anchors model technologies gps machine learning intelligence anchors environment navigation anchors location time person app model public space gamification user interaction retention model aarogya setu app routes spaces patients turn routes navigation ieee,1,32
gamification trend software development popularity finance healthcare education software testing cycle stages types testing teams test suites test execution methodologies stage development reason software testing teams individuals aspects software inclusion gamification course benefits idea behavior paper study machine performance gamification software tester specialists testing environment software company gamification service software testing team members data user behavior data sets categories activities behavior chains supervision domain experts classification approach systems testing performance objectives potential encouragement dissuasion motivators obstacles target activity behaviors model research design tactic result needs motives obstacles source data target data categories information feature gamification mission feature sources futures sum mission ieee,1,32
intelligence topics applications range research topics academia machine popularity demand skill industries years levels education curricula courses programs backgrounds students school students programming math experience models potential field reason students difficulties lack experience topics addition motivation curriculum student learning process work visualization tool school students field concepts gamification content curriculum experience programming math ieee,1,32
community city terms energy transportation sectors standards iso indicators community quality life energy indicator paper level energy consumption element city user place interaction community buildings users software hardware technology interaction users role understanding users patterns building community city community city methodology paper gamification machine learning iso standard strategy manner transition communities cities paper energy indicator iso standard tecnologico monterrey mexico city campus ccm threelevel structure building community city ieee,1,32
machine algorithms gamification environments information gathering students games analyse data tools retain student attention interest optimize paper mapping machine algorithms game level copyright scitepress science technology publications rights,1,32
emotions role students activities computer emotions confusion boredom frustration student factors student exercise term motivation role language students state learning environment student emotions machine techniques motivation strategies gamification methods experiments acceptance learning system performance results experiments intention enjoyment usefulness attitude system results students system informa trading taylor francis group,1,32
paper analysis effect gamification learningteaching performance students course variables improvements methodologies course design techniques machine domain successfailure classification methods results approach predictions classifiers springer nature switzerland,1,32
integration technology environments period teaching processes classrooms education institutions technology support animation learning designs environments experience students education skills todays environments animation game designs environments skills behaviors concepts individuals needs designs animations technologies individuals needs life accessibility animation designs teachers families importance covid19 period technology education listening reading communication skills individuals needs life skills development guide individuals information context study information use accessibility animation technology education suggestions benefit design animation technologies insights school management education authors mdpi basel switzerland,1,32
arsinoëproject gamification reality machine learning hieroglyphs application smartphone k12 students ways hand approaches study hieroglyphs egyptian culture history hand concepts learning languages nonlatin writing systems ieee,1,32
deafblindness condition communication capabilities channel project suitceyes system communication interfaces textiles user needs disability studies elements textiles sensors technologies image processing face recognition machine computing gamification work concepts design vision copyright ownerauthors,1,32
years focus sustainability policymakers companies consumers perspective recycling role waste time need materials paper web application users waste collection machine algorithms garbage categories gamification elements aim user involvement acm,1,32
lockdown universities covidpandemic students homes teaching methods learning experience implementations physionetcomputing cardiology cinc challenges reference years challenges value advances problems paper results class intelligence medicine challenge project seminar technical university darmstadt germany physionetcinc challenge classification lead ecg fibrillation disease models course insight dualnet architecture model analysis model performance results scoring process models model performance models challenge test teams scores testset recordings themes participants results student evaluation selfassessment students increase machine knowledge authors behalf institute physics engineering medicine iop publishing ltd,1,32
technology scope span teaching learning process selfmotivation engagement students scale lack selfmotivation engagement challenges educators today tasks faculty embroil students lecture work ways enticement intelligence machine framework methodology user engagement gamification objective research work issue disengagement framework students education student engagement enticement motivation mechanisms courses system method course program framework courses utility framework anfis model decisionmaking rewards distribution number coins students outcome participation group students gamified system control group success model kavisha duggal,1,32
time school day objectives subjects need activity levels computer science instruction schools project movesmart platform opportunities education computer science thinking csct activities grade students singleday intervention improvement interest perceptions coders paper series lessons grade movesmart curriculum students activity monitor learning approach students data analysis machine learning framework classification pattern recognition ieee,1,32
study acquisition student outcomes gamification features research variable control variables observation measurement variable manipulation variable difference understanding entrepreneurship subject matter groups students strategies difference entrepreneurship subject matter groups students interaction effect gamification learning strategies learning strategies achievement motivation entrepreneurship subject matter study studies gamification strategy entrepreneurship course semester students language literature education study program fkip lamongan copyright inderscience enterprises ltd,1,32
approach stem education intersection machine gamification context thailand challenge students process machine learning models form game emphasis learning projects passion goal education model students solutions realworld problems environment machine learning tool education school level ieee,1,32
students profile way student information students characteristics background knowledge style preference goals etc challenge students system information needs methods students student profile students contribution students profile characteristics context sponto ontology student profile learning system ontology classification types learners machine learning techniques paper implementation contribution learning environment class quiz assessment effectiveness classification models algorithms dataset instances authors licence media llc nature,1,32
objects los practices potential performance systems ways students learning experience development los practices performance systems los units content materials courses tutorials assessments approach content educators materials needs students practices use technology teaching learning process strategies collaboration gamification learning student engagement motivation achievement findings objective study phases authors metadata los analysis algorithms tool exploration techniques los form similarity cmeans algorithms classification accuracy fcm algorithm originalityvalue order effectiveness los fcm series studies realworld dataset results study approach approach results emerald publishing,1,32
scenario lockdowns service interruptions distance learning pathways solution emergency issues effectiveness implications sides desire experience advantage knowledge resources infosphere type modes approach path education distinction context tools tutoring systems complement step onlife paper solution implementation study buddy students studies study buddy concepts machine learning gamification technologies devices processes form onlife authors license nature singapore pte ltd,1,32
factor learning platforms students system platforms platforms objectives interactions users bots solutions crossplatform user interaction paper studentplayer model model use machine techniques adaptation architecture solution model chatbot design chatbot architecture nature architecture approachs implementation validation tool kids multiplication tables authors,1,32
paper contributions workshop gameshuman interaction ghitaly19 connection chitaly edition series workshops aspect process design development game quality user experience goal order target users artifacts video games consideration concerns range applications video games borders amusement association computing machinery,1,32
intelligence spectrum groups algorithms algorithms search methods representation knowledge reasoning algorithms machine learning algorithms need system application work education paper software system algorithms sail software system computers devices paper examples lab exercises tasks representation procedures students area students examples system solutions examples point example student step simulation file procedure task solution sail lecturers syllabus class material time students grasp algorithms sail software engineers algorithm problem results sail system course school engineering university belgrade paper wiley periodicals inc,1,32
machine workflows context analytics stages exploration verification knowledge communication stages users types actions needs position paper workflow design elements users motivation actions models quality insights concepts analytics psychology gamification model analytics processes game mechanics parametrization game mechanics evaluation users actions analysis results model analytics techniques game dynamics challenges implications research ieee,1,32
appearances data facts realworld situations outcomes nature outcomes assumptions data models run effect elements punishments ones role rewards ladders role snakes vice context gaming gamification models snakes machine techniques nature data models techniques help metamodels gaming gamification world study scope software system models selflearning selfimproving capabilities nature data epochs context data models world situations situation paper role experts expertise mathematics statistics domain experts technologists software solutions american institute physics inc rights,1,32
study step study impact learning gamification methodologies results education activity software platform moodle participation students set tasks games editions course aim relationships patterns accomplishment activities network structure graphs forums knowledge acquisition outcomes purpose paths students course variables improvements methodologies course design techniques network analysis sna machine learningdeep mldl domains successfailure classification methods results approach predictions classifiers methodology datasets time windows estimates interventions tests datasets influence path results authors computer applications engineering education periodicals llc,1,32
teaching machine learning range tools techniques students processes world situations way learning process learning game situation definition fun rewards research students behaviour actions wellknown game software learning machine learning concepts customising learning use gamification ieee,1,32
paper art design user interaction experience systems methods perception machine foundations design heritage display resources display theory heritage education theory cognition theory gamification design theory modelling analysis foundations design principles heritage education principle interaction design principle content design principle paper ontologies user knowledge models similarity metrics candidate neighbour sets screening users activity weight tensor scores tensor decomposition recommendation evaluation values recommendation evaluation values recommendations results algorithm recommendation implementation case analysis fit reality folk art appreciation class reference application cases design practice reality application folk art appreciation class problems folk art appreciation class analyse feedback effect summary outlook authors licence springerverlag london ltd nature,1,32
generations students histology subject nomenclature insidiously histology minds stakeholders subject curriculum factors survey group discussions faculty challenges histology data number years teaching session pathologist students opinions faculty pedagogy gamification organ system histology years teachers face ftf microscopes microscopy students selfteaching resources students pathologist coteach histology teachers students histology divide opinions histology traditionalists status quo reformists changes learners approaches pathologist context histology lessons american association anatomists association anatomists,1,32
ineffectiveness gamification projects decisions design phase selection game design elements paper data method gamification pattern language software design patterns gamification designers elements thanks machine technologies pattern language analysis use game design elements games paper report research project beginning cooperation games game design elements board games machine techniques tests support vector classification games game design elements accuracy rates ieee,1,32
paper approach motivation students software concepts students needs preferences software principle gamification elements model approach software application software needs students software association computing machinery,1,32
report design techniques education llc years students stem career demographics ages software platform study machine learning competition science technology engineering math school systems report lessons pilot programs education charles county maryland school district period classes honors students access simulation game space world teachers program space foundation teacher liaison program cohort analysis number shortcomings education technology solutions research products highfidelity graphics animations millennials applications computers teachers school administrators data collection curriculum copyright international astronautical federation iaf rights,1,32
thinking attention education researchers practitioners parents decade skill problems solutions contexts paper crossplatform game computer smartphone internet connection game easytouse programming environment learners robots tasks game levels core reformulation recursion decomposition abstraction testing game learning learners learners solutions communication leadership skills surveys integration core elements game design attractiveness usefulness tool copyright inderscience enterprises ltd,0,25
thai tourism sector advances multimedia technologies tourism reality study behavior tourists chaiya national museum standards quality products services reality tourists concept gamification multimedia approaches sample tourists machine learning techniques tourists behavior results accuracy particle swarm optimization forest algorithm search search methods feature selection algorithm search rules tourist behavior particle swarm optimization apriori algorithm confidence tourist satisfaction quality service chaiya national museum findings dataset features prediction model rules tourist behavior institute information science rights,0,25
background impairment schizophrenia source disability impairment despite potential interventions lack screening strategies triage impairment study assessments need methods study data subjects schizophrenia controls phone version trailsb assessment life days testing battery beginning end study machine learning dataset disease status function features prediction results models disease status accuracy features auc number items duration interaction application addition data performance auc time predictor sleep dysfunction auc feature importance discussion machine learning identification subjects schizophrenia controls prediction function addition data performance models value assessments cognition tool cognition,0,25
background school children development motor skills problems detection assessment tools supervisor children toys machine learning solutions problem objective study toys childrens motor skills objectives outcome motor skill movement assessment battery children second edition mabc2 influence classification model game type data level difficulty game prediction methods children school n95 age years mabc2 games toy futuro cube game roadrunner speed game maze precision game levels difficulty sensor game data machine learning classifiers data mabc2 outcome knearest neighbor regression decision tree vector machine performances games classifiers levels difficulty types data classifier game accuracy score tests α05 results accuracy classifier sensor game data level game differences performance accuracy scores data roadrunner games p03 p01 p02 differences performance accuracy scores classifier classifiers game knn p42 p35 svm p08 game knn p15 p62 svm accuracy performing level difficulty combination level classifier sensor game data game combination level p046 results study toys mabc2 scores children school game type speed precision data type sensor game data performance machine classifier level difficulty annette brons antoine schipper svetlana mironcika huub toussaint ben schouten bakkes ben kröse journal internet research httpswwwjmirorg article terms commons attribution license httpscreativecommonsorglicensesby40 use distribution reproduction medium work journal internet research information link publication httpwwwjmirorg copyright license information,0,25
disability problem skills writing math disability belowaverage intelligence children disability skills children age learning way learners activities children disability process children children issues motivation interest education use gamification approach affordance prototype desktop gamification tool athwela technology technology device service capabilities individuals disabilities children disability mathematics reading athwela points athwela education classrooms tool gratification motivation points rewards technique objective research children disability skills effort way prototype desktop application sinhala language sinhala mothertongue sri lanka addition machine learning image processing techniques skills children disability ieee,0,25
personality recognition psychometrics data personnel selection assessment tools resources tools volume player personalities war talents judgment test approaches results players behavior personality judgment tests advantages gamification players reactions state judgment test approach judgment test approach novel game genre results gamification game elements narrative scripts characters dialogs assets test elements role validity players results method bias players knowledge gamification personality detection outcomes game elements dialogues character personalities validity team cohesion measure end study personality trait models nonplayers characters speeches myersbriggs type indicator dichotomies personalities companies organizations personality typology dimensions twentyfour classifiers 16class classifier machine learning network domain language processing text analytics psychometrics results study characters personalities game designers characters personalities language processing dechema rights,0,25
