Word,Frequency
game,47
children,42
machine,34
data,32
learning,29
gamification,24
test,24
results,22
study,20
level,17
skills,16
users,15
accuracy,14
model,14
models,14
assessment,13
games,13
performance,12
development,12
approach,12
behavior,11
phase,11
dyslexia,11
tests,10
research,10
paper,9
design,9
tool,9
dataset,9
features,9
prediction,9
impairment,9
disability,9
disease,8
application,8
time,8
classifier,8
judgment,8
authors,8
framework,8
system,8
levels,7
algorithm,7
classification,7
difficulty,7
years,7
work,7
players,7
risk,7
perception,7
technologies,6
quality,6
techniques,6
methods,6
screening,6
school,6
detection,6
age,6
score,6
use,6
validity,6
diagnosis,6
devices,6
attention,5
computer,5
strategies,5
problem,5
classifiers,5
activities,5
prototype,5
personality,5
personalities,5
caregiver,5
order,5
training,5
experience,5
brain,5
society,5
education,4
problems,4
internet,4
learners,4
testing,4
elements,4
copyright,4
tourists,4
approaches,4
selection,4
information,4
interventions,4
assessments,4
subjects,4
addition,4
motor,4
tools,4
mabc2,4
type,4
speed,4
sensor,4
vector,4
types,4
combination,4
license,4
language,4
processing,4
psychometrics,4
characters,4
method,4
knowledge,4
step,4
nature,4
adhd,4
usability,4
means,4
content,4
needs,4
datasets,4
handwriting,4
child,4
user,4
fairness,4
applicants,4
anxiety,4
evaluation,4
maturity,4
smurf,4
systems,4
thinking,3
researchers,3
parents,3
solutions,3
reality,3
sample,3
optimization,3
forest,3
search,3
tourist,3
institute,3
rights,3
background,3
schizophrenia,3
life,3
end,3
status,3
function,3
auc,3
number,3
duration,3
importance,3
toys,3
objective,3
outcome,3
regression,3
differences,3
scores,3
intelligence,3
way,3
process,3
interest,3
athwela,3
points,3
technique,3
image,3
ieee,3
volume,3
role,3
alzheimers,3
disorder,3
treatment,3
help,3
feedback,3
people,3
switzerland,3
project,3
stz,3
challenges,3
aim,3
algorithms,3
app,3
highfidelity,3
limitations,3
acm,3
job,3
field,3
scoring,3
health,3
participants,3
analysis,3
metrics,3
support,3
caption,3
future,3
idea,3
course,3
dysgraphia,3
expectations,3
ability,3
memory,3
authentication,3
copies,3
kinds,3
skill,2
connection,2
environment,2
core,2
tourism,2
sector,2
multimedia,2
chaiya,2
national,2
museum,2
concept,2
particle,2
swarm,2
feature,2
rules,2
satisfaction,2
service,2
controls,2
battery,2
interaction,2
predictor,2
cognition,2
childrens,2
influence,2
roadrunner,2
precision,2
performances,2
knn,2
svm,2
ben,2
journal,2
article,2
terms,2
distribution,2
issues,2
motivation,2
desktop,2
technology,2
individuals,2
disabilities,2
sinhala,2
recognition,2
personnel,2
resources,2
advantages,2
reactions,2
companies,2
stages,2
provision,2
clock,2
cdt,2
access,2
progression,2
disorders,2
form,2
statements,2
scenarios,2
steps,2
realtime,2
posttrip,2
safety,2
drivers,2
behaviors,2
principles,2
consideration,2
machines,2
perceptron,2
mlp,2
intervention,2
indicators,2
collection,2
telemetry,2
prevalence,2
web,2
population,2
reliability,2
pilot,2
patients,2
concerns,2
shap,2
situations,2
patterns,2
blackbox,2
explainability,2
crowds,2
crowdsourcing,2
purpose,2
works,2
imagecaption,2
ratings,2
demand,2
correlation,2
factor,2
program,2
crossvalidation,2
predictors,2
recruitment,2
gender,2
interactions,2
impairments,2
mci,2
management,2
decline,2
stage,2
alzcogame,2
domains,2
functions,2
f1score,2
impact,2
measures,2
manner,2
gameplay,2
german,2
category,2
permission,2
fee,2
world,2
stepup,2
modules,2
goal,2
module,2
trend,2
competition,2
ecology,2
mining,2
customers,2
shopping,2
thinkfirst,2
shops,2
shop,2
efforts,2
trust,2
practitioners,1
decade,1
contexts,1
crossplatform,1
smartphone,1
easytouse,1
programming,1
robots,1
tasks,1
reformulation,1
recursion,1
decomposition,1
abstraction,1
communication,1
leadership,1
surveys,1
integration,1
attractiveness,1
usefulness,1
inderscience,1
enterprises,1
ltd,1
thai,1
advances,1
standards,1
products,1
services,1
apriori,1
confidence,1
findings,1
science,1
source,1
despite,1
potential,1
lack,1
triage,1
need,1
phone,1
version,1
trailsb,1
days,1
beginning,1
items,1
sleep,1
dysfunction,1
discussion,1
identification,1
value,1
supervisor,1
objectives,1
movement,1
second,1
edition,1
n95,1
toy,1
futuro,1
cube,1
maze,1
knearest,1
neighbor,1
decision,1
tree,1
α05,1
p03,1
p01,1
p02,1
p42,1
p35,1
p08,1
p15,1
p62,1
performing,1
p046,1
annette,1
brons,1
antoine,1
schipper,1
svetlana,1
