PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
-2.061262,0.19321543,0.36326355,-4.226619,1.0014185,-1.7982297,-2.612411,0.17618802,-1.3014828,-0.5568355,-1.6912462,0.98402417,-1.6111763,3.0073907,1.1891286,1.3443551,-0.30379888,-1.3299948,-2.9170232,-0.20602928,-2.6567824,-0.19595124,0.011580009
0.110969245,-0.70959127,-1.3277028,0.3874571,-4.665646,0.2841191,-0.20280007,2.8575675,-0.82716274,0.22831546,-1.5280292,-2.6884406,-1.353576,1.1185606,2.879453,-1.5946809,0.58671314,0.3292491,2.8667216,0.06450143,0.4718884,0.033664662,-0.22873157
-0.2280856,1.0014359,0.27162993,-1.2547433,0.51501906,-5.0267735,-0.75284296,-1.430029,-0.7114005,-0.4002405,0.59237534,3.3700633,-0.9659692,-1.9212288,0.4290364,4.0929995,-1.0672497,-0.6381077,-1.5271165,-1.3715541,-2.4847662,-0.40730923,-1.0685627
0.27228653,0.33019882,0.060033973,0.0008004135,0.04473097,-1.9604173,-0.027092952,0.30189416,0.76926994,-3.152754,1.0138307,-0.047795657,-2.7013245,-1.7351515,3.1426103,1.3243709,-2.7732432,1.8136774,-0.4198719,-0.6091029,-0.83402437,0.47378996,-0.7907222
-2.4741688,-1.0608476,-0.22105841,2.8902493,-1.7502917,2.5541546,-2.6791387,4.45576,0.6995696,1.6061504,-3.0823114,-0.88145846,-1.7399019,2.111065,2.5332193,-3.6515954,0.50281024,-1.9851893,2.3278909,0.8294017,1.2142684,1.2206036,0.21587418
-0.43343288,0.13355753,0.23229249,0.7187594,-1.903859,-2.0188208,-1.495419,0.17110403,-2.9424462,-1.3468077,-2.1164443,-0.67402196,-1.4659497,3.1801088,2.3825588,0.8523469,-0.26711714,-0.23326777,1.7363318,-0.10291918,-1.9682453,-0.8081202,-1.3679402
2.3252523,0.71765786,0.21104318,-2.7458415,-0.25959322,-0.5675433,1.8339244,-5.729729,-3.4858916,-0.42118752,1.9677067,-0.5068269,1.6043762,-2.4871995,-2.5491004,1.6824942,-0.3086896,1.7820054,-0.28683257,-0.22174416,0.59896535,-1.5361121,0.041339803
1.5779142,0.99916625,-0.36303896,-3.4216096,0.06172876,-3.805062,0.91918206,-3.5946405,-4.3039074,-2.0139234,0.7803744,0.2546244,0.04392664,-3.073741,-1.2491835,2.4091256,0.038234413,1.6495383,-3.980493,-0.9444393,-3.467232,-1.2307198,-0.070964925
5.109873,0.21517935,-1.0834876,-0.7592251,-0.97563,-2.6600502,4.463918,0.6928196,5.6981983,-3.1786332,3.1047873,-0.011073707,-2.8884575,1.7031993,1.621834,2.0782428,-4.2260227,3.252959,-1.3888577,-1.4221404,0.104318485,0.41816118,-2.7591014
-3.8943663,-0.8504114,0.1420505,1.0797256,-2.6731412,0.6772828,-4.069245,2.2216523,-3.4349136,1.2056434,-4.8625603,-1.8282809,-2.4649353,1.3319807,1.6372435,-4.3429565,2.190223,-2.807721,2.4166627,0.90805274,-2.5652688,-0.13196835,0.47282228
0.4493512,-0.73933005,-0.6705537,0.66641974,-2.1901598,3.9758902,2.3624237,2.0577605,1.3831673,1.9426883,-0.98248315,-1.8180653,-0.14201999,0.1285832,0.5368645,-3.1426153,2.7916186,0.105562635,4.42228,0.9433289,1.5106524,0.49497312,0.82403696
1.0706356,-1.3732556,-0.5274266,1.9839139,-2.9125016,1.2203466,1.2645288,5.729895,2.988833,0.74150705,-0.9672051,-1.0136718,-0.4453246,2.4307508,2.3071318,-4.017516,-0.56536335,0.14686912,3.6633632,0.099481106,2.9628844,1.3010795,-0.3651633
-3.8226128,0.7953425,0.9138694,2.761435,0.029178688,-1.676584,-4.1554756,0.32290822,-2.435509,-0.3010149,-3.5045612,0.115737654,-2.78268,0.3088403,1.585477,0.116804115,0.45534423,-2.1571786,-1.2166764,0.32404852,-2.6229293,-0.29249302,-1.7349279
0.95876884,1.0036185,-0.0024224839,-0.40366,0.23522069,1.4359831,-0.98752064,-2.3442502,0.14775701,-0.10610658,5.2997165,-0.07251873,1.6714675,-0.77427506,-2.6286674,-0.34988618,0.43678612,0.69201994,-1.2309263,0.10411029,1.3916783,0.20872456,0.2640926
4.772831,0.6621619,-2.0531838,-3.2324667,-0.08576519,0.121489845,4.1563106,-3.4764156,-0.13827182,-0.5199676,4.195397,-0.26021126,3.4946399,-2.8360755,-3.373365,2.0772924,0.59208566,3.783488,0.13077384,-0.7701066,2.9077964,-0.3472497,-0.45703232
3.6844387,-0.4370572,-1.91379,-4.1152883,-3.7266173,2.459843,5.245595,-0.66598654,-8.369785,1.0167532,-0.82337004,-3.1109047,4.5764346,-1.3341607,-4.1686296,-1.7234334,5.07231,3.058527,4.076359,0.67884576,0.20757806,-2.2042222,0.6695123
4.983446,0.760422,-0.8729998,-2.7555258,-1.9319949,-2.4275126,4.400879,-1.6657243,0.0010562264,-1.756194,3.8100617,-0.57540953,0.2798549,-1.3195106,0.15424202,3.0611577,-1.2950983,3.5934384,-1.5485419,-1.2823458,0.47226354,-0.5188527,-1.421365
-0.9428768,0.63577086,0.30788112,-0.8186539,2.1878786,1.8816898,-0.97058827,-3.6777196,-2.6851282,-1.0515724,0.10181074,-0.1556033,-0.29057747,1.5012921,-0.57221556,2.787727,0.48130184,-0.054930806,-3.94785,0.28649828,-2.080624,-0.6499847,-0.471134
2.332923,1.9739932,0.038679726,-2.0612996,-0.1553125,1.014345,4.1606927,-2.000651,0.687265,-0.18957116,2.3089526,-0.2124775,0.57626134,-1.2570761,-1.0432097,-0.31569058,0.2178079,2.5388048,0.61435205,-0.16851348,-0.9392807,0.06553461,0.41287267
0.27874967,0.6079038,0.12444994,2.2668402,1.289805,-0.5559054,-0.5621486,0.9825585,6.4893,-3.6696641,-1.612102,0.29467195,-0.26165342,-0.83510685,-1.3963385,1.9284744,-4.5578666,-0.4200679,-0.3687917,-0.8801364,-1.7837907,-4.891108,-0.7639237
1.8240651,23.157211,-13.769562,10.509868,-21.572613,22.330864,-10.526859,-0.36333928,6.5134525,3.288694,-3.9622848,-37.554497,-3.5968757,26.592216,-30.632265,-6.346775,-28.313362,-11.062925,11.356148,-3.947339,32.953808,0.02397056,-14.5827
0.8664397,-1.1105285,-0.14554225,-0.48956642,0.617706,-0.3285785,4.095833,0.43768638,3.0370436,-1.0788268,0.17662805,-1.190709,0.25846785,-0.7006266,-2.095156,-0.11906372,1.3289863,-0.7377845,-1.2834835,0.09966832,1.5270255,-0.8502507,0.35532406
-5.31352,3.5905654,3.0147045,-0.37815174,1.298671,-0.46231076,0.22047736,-1.0759168,-0.0831469,-0.6897986,2.192537,0.17023419,0.32785907,-2.259356,0.6150686,-0.96133494,0.09369439,0.15533441,-0.34864494,3.8812559,0.21509542,-0.119839236,2.6357996
-1.858829,1.5599627,0.7217908,0.4369015,1.2392468,-0.6122001,-0.6842946,-8.846747,-11.753817,0.18236908,0.42670742,-2.0617564,-6.4758854,-2.3364239,0.01812355,3.4806895,-1.8291991,-2.4469314,-0.27419147,-0.18963885,-11.53329,0.05694996,1.5708715
1.6108474,0.2614773,0.66557467,-2.6916096,0.119404,-2.9752474,-0.47194043,1.4844257,1.8890216,-3.4384217,2.0681548,-0.98492545,1.8112055,0.94118536,-0.14352977,0.40428483,4.2545075,2.1111789,-5.6615744,0.021134574,-8.456951,-5.623253,2.8526936
0.75153416,1.1225336,-0.81051075,3.5652952,-0.26137227,-0.05776383,0.12439538,-0.25571057,4.2244267,0.7340575,-2.9317727,3.543859,0.09060971,-0.17576666,-0.5561389,-0.45241967,0.042884525,-0.13387941,-2.3675857,2.068839,2.413346,-2.3649147,-5.800053
3.7408576,0.44585043,-1.5194542,-3.5695963,-2.869499,-1.8919736,3.8074522,-2.3529742,-5.1082864,-1.1274807,1.5218196,-2.0672488,0.90164006,-1.3178014,-0.8913767,1.7438593,2.1252434,3.078482,-0.21954352,-0.62642217,-2.012707,-1.5310656,-0.76155204
2.1874933,-0.54437864,-0.5998357,0.60692614,-0.5560401,1.736905,5.910369,0.684568,1.114279,0.5886099,1.2331511,-0.28196803,1.044589,-0.2049708,-0.6411792,-1.4952234,0.5132334,0.79796,1.2729862,0.15976335,5.5189905,0.06403924,0.6218284
0.66751003,-0.14530864,-0.0474479,-1.4129122,-1.0937853,-0.07389738,-0.68701756,-0.36097014,0.47063816,1.1187778,-0.01344654,0.6229869,-0.5120371,0.15392977,-0.62506884,0.46840912,-0.84715736,0.32973102,-0.11566004,0.5663185,-0.88058484,0.23249333,-0.3461128
-0.1298514,0.038370647,-0.19201759,-0.60888225,-0.32630706,-0.09166784,-0.24877451,-0.9316313,-2.914718,-1.9959769,3.4058926,0.4352618,0.4703117,-1.2830697,1.8396287,-2.3880565,1.2965955,0.74334556,0.1736728,-0.0958714,-1.1539305,-1.0718753,-0.087587126
